description_id,user_id,description_input,description_output_grid_size,description_output,is_verified,confidence,num_verification_attempts,num_actions,num_actions,generation,user_num_prior_description_experiences,user_num_prior_build_experiences,description_synthesis_time,verification_time
bb575924-670b-4351-bbe9-9cdbd1d91c2c,a0a38fde-6aa3-4593-b803-ca9f0e0e8485,"In the input, you should see... A random green pattern",The output grid size... Remains the same as the input size,"To make the output, you have to... Fill each enclosed hole with yellow",True,10,1,10.0,10.0,1.0,0,4,252,35
cd346d97-ec6f-41ca-9389-23939676c3dd,4197053b-13fb-484f-b02a-3d61257c5370,"In the input, you should see... green pixels in a random pattern.",The output grid size...is the same as the input grid size.,"To make the output, you have to....copy the input grid and then fill in each area or pixel enclosed by green pixels with yellow.",True,10,1,10.0,10.0,2.0,2,3,386,43
37babaca-fbfb-4b9d-917e-529b4017b072,a70d7119-ca98-4294-8143-73d42f920ec7,"In the input, you should see...one color on black background",The output grid size...same size with three by three at bottom of it,"To make the output, you have to...bottom three by three blocks are the three by three from the two blocks from the top",False,,3,30.0,30.0,2.0,6,6,189,101
5c72eb71-3fcb-4ba8-b05f-46140a5be89e,aa6787f8-ced1-4e36-aa81-061cac6e7e12,"In the input, you should see...A grid with a pattern in blue blocks",The output grid size....s 33% bigger than the input grid,"To make the output, you have to...copy the original grid to the top 66% of the output grid. Then ignore the top two rows of the grid, copy the next three rows, and paste them into the bottom 33% of the output grid. Change all of the blue blocks to the red-orange color",False,,3,15.0,15.0,3.0,6,0,288,87
876aa2c8-de2f-478c-b3f8-6933dff1e55f,af81bc17-1114-4982-b5b0-fcdb5000331a,"In the input, you should see...some colored boxes",The output grid size...should be one third to the original box,"To make the output, you have to...change the color and add one third potion",False,,3,51.0,51.0,1.0,6,1,220,124
94911e6c-cbea-45f0-8b76-e1a717dab0d0,5bcdd6db-acf1-4a55-afcc-dc4a6b36a0ec,"In the input, you should see...black background designed with blue grid",The output grid size...change it to 3 by 9,"To make the output, you have to...make a replica of the design in the input grid and make sure you fill all the grid because the output grid is 3 by 9 while the input grid is 3 by 6",False,,3,44.0,44.0,8.0,2,1,553,258
99c37804-4beb-4a44-8171-f9ff8494ffb2,4770601c-ade6-4ff1-b659-a77772546454,"In the input, you should see....two checkerboard shapes, one with black and blue squares and the other one with red and black squares.",The output grid size...to 9x3.,"To make the output, you have to....change the size of the grid, start in the top left corner with black, then red, and then black.  Continue to make a checkerboard pattern to fill in the all the squares.",False,,3,56.0,56.0,5.0,3,6,466,270
9feb2736-073d-4364-bd5e-912c35557199,7544836c-6f6c-491b-8d1d-9fd0a7b5f67c,"In the input, you should see...3x6 pattern with blue and black pattern.",The output grid size...increase to 3x9,"To make the output, you have to...continue the pattern with additional 3x3 squares on the bottom",False,,3,34.0,34.0,4.0,1,1,218,235
b2478896-682c-4450-8e5b-4b9d735c1a98,4693a2fd-1798-40cb-9883-dda74a7d775c,"In the input, you should see...colored grid in with black grid",The output grid size... change into 3x9,"To make the output, you have to...after change grid size use the same pattern but change the color into red, assume the design is in 3x9 grid",True,8,1,17.0,17.0,7.0,1,3,270,29
b7ebed9d-1ad2-4be5-879b-7146ca1659f7,51620f18-c88a-4887-8ee1-864146511caa,"In the input, you should see...the black and color grid",The output grid size...the size in the input grid,"To make the output, you have to...resize or copy paste the color grid as in the input grid",False,,3,35.0,35.0,6.0,2,2,150,343
f8344fbf-a9db-4dec-b0ea-4eae7cdc310c,a0e44553-20fe-444d-b58b-6e30bec26e87,"In the input, you should see...a grid that is 3x6 with black and blue.",The output grid size...add 3 rows to the bottom.,"To make the output, you have to...keep the original pattern, change the blue to red, and then continue the pattern in the new 3 rows.",True,6,1,18.0,18.0,9.0,0,2,200,39
f8e06370-f89e-469f-a37f-cebf57bd916a,4826b5dc-45f3-4beb-af66-c6e3c82f3a77,"In the input, you should see...a blue pattern",The output grid size... is the same as the input.,"To make the output, you have to... change blue to red.",False,,3,11.0,11.0,0.0,5,2,104,21
726e575f-045a-424a-af47-9766bd0566d1,656912d1-180e-41e8-a34f-3e262c776f4a,"In the input, you should see...black background with colored shape",The output grid size...should stay the same,"To make the output, you have to...copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the left.",True,10,1,21.0,21.0,4.0,2,1,402,99
9d138a8d-32b6-4615-b4c6-9a5a5d3ff096,e78c05d7-d39e-4e2d-9728-218d8406aa13,"In the input, you should see...orginal pattern",The output grid size...copy the size pattern,"To make the output, you have to...follow the insturction",True,9,3,67.0,67.0,2.0,4,4,59,432
b10d22d3-6d45-45a7-aaec-029ac78ec0a9,dd2ce9c7-5bcd-4aa6-b278-068a1ecc5b05,"In the input, you should see...very well",The output grid size... change the numbers,"To make the output, you have to... read the instructions",False,,3,27.0,27.0,0.0,1,0,102,64
b47662f9-64e3-4050-9089-702f0497f251,261ea4bd-4531-4816-a550-45e5251aecdb,"In the input, you should see...two colored shapes",The output grid size...is the same as the input grid size,"To make the output, you have to...Slide each shape over one row and remove a center row from each shape to make narrow",False,,3,40.0,40.0,3.0,4,3,156,141
f3cfc99b-13b9-4966-a647-7f7778bd6129,ba87cf7c-e639-42ff-8753-e0021750bdc1,"In the input, you should see...black background with colored shape",The output grid size...should stay the same,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",True,8,1,14.0,14.0,1.0,3,2,160,32
1e3ee593-acbe-4b1f-8b83-8cb6fc56bedb,4d36e5e8-0767-42d7-9656-55ab8d369861,"In the input, you should see...one completed pattern and two incomplete patterns of different colors.",The output grid size...same as the input size,"To make the output, you have to...complete the same pattern with the two incomplete patterns, going in the same direction as the line dictates, with one space between each pattern continuing to the border.",False,,3,87.0,87.0,3.0,0,4,362,140
321d6aed-abb3-4fc7-a3e0-8a3253442d92,d40aba9f-0469-4cf0-a827-61fe3cd8b2d4,"In the input, you should see...a pattern of blocks in a distinct shape (e.g. a cross, a square, etc) with an unfinished arrangement of blocks on some of its sides.",The output grid size...remains the same.,"To make the output, you have to...use the unfinished arrangement of blocks to form the central shape and continue forming the shape until the end of the grid. Repeat on every side that has an unfinished pattern. Be sure to use whatever color the unfinished pattern started with for each row (it may be a different color from the central shape.",False,,3,96.0,96.0,11.0,2,2,607,279
46dd6275-940e-43fc-a43c-042de3ca022c,5759d3ec-673a-4ab1-8d2a-35c580705ecb,"In the input, you should see... a large colored shape and smaller colored shapes next to, above, below or diagonal from the largest shape.",The output grid size... is the same as the input grid.,"To make the output, you have to... copy the input grid. Then build onto the smaller shapes so that they become the same as the original main shape, but do not change their color. Then, continue to draw the same shape in the same color and at the same distance until you reach the end of the grid. So if it is a square, keep adding squares at an equal distance until you reach the edge of the grid. If it is a plus sign or any other shape, do the same. Repeat this in any direction where a small shape is near the original big shape.",True,2,3,66.0,66.0,2.0,2,0,396,104
609ba5dc-4b16-4fa9-b2ac-c4a27eec7bfa,d8474ec1-cb18-4967-9897-f57a6af99c92,"In the input, you should see...good  nice one",The output grid size...nice one much nice,"To make the output, you have to...good one",False,,3,15.0,15.0,9.0,2,0,93,29
62882c5d-7d04-4c56-b333-24901459c8d8,5c46f270-612a-4d1a-8c58-dc7dfabf3d2f,"In the input, you should see...a design pattern with incomplete patterns in different colors next to it on a black background",The output grid size...same as the input size,"To make the output, you have to...complete the same pattern in the differing color all the way to the edge of the grid along the same direction or line that it starts at,",False,,3,18.0,18.0,4.0,1,1,246,136
6c36e954-b923-4eb2-a0b6-d7d3e175d4ec,51593085-c37c-4ab0-a17d-d5404d0752f1,"In the input, you should see... black background with one whole shape and other half-done shapes to its sides.",The output grid size...is the same as the input grid,"To make the output, you have to... copy the input grid. Then create the shapes that look like the whole shape starting from the given half-done shapes. Continue creating the same shape with the same size all the way to the end of the black background side.",True,4,1,47.0,47.0,10.0,1,2,592,50
76dafa84-a1ff-4569-99ba-611b56ae8f17,09c9804a-be31-4919-92f8-0c2386665550,"In the input, you should see...a small grey object with six grey squares in an almost square pattern with a black hole of one square in the middle, an object of two pink squares to the top right of it and a small object of 3 blue squares to the bottom right of it.",The output grid size... 20x20,"To make the output, you have to... 1st: make the pink and blue objects look exactly like the grey object with the original pink part on the bottom left of the object and the blue on the top.2nd.  repeat the pink object upwards diagonal of 3 squares (it will be cut off by the top just do what you can.3rd: repeat the blue object diagonal by one square (the 3rd will be cut off a bit)",False,,3,40.0,40.0,6.0,1,0,253,132
79119373-ce69-4bf8-9eb2-75259e08c6c4,dd7a798f-7977-4c97-b47d-38d1622eb1c5,"In the input, you should see...a reference shape, which will be the shape with the most blocks, with various colored blocks to its sides.",The output grid size...stays the same size.,"To make the output, you have to... replicate the reference shape, using the color of the other  blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape.",True,8,1,52.0,52.0,5.0,0,0,300,85
a786e225-6f75-4103-8e7f-e4f38c7d91bc,116b7a36-4229-41d6-8b74-9fd738c9a6bc,"In the input, you should see...a central, complete pattern with incomplete patterns of differing colors around it",The output grid size...same as input size,"To make the output, you have to...replicate the central pattern for each surrounding incomplete pattern, using the color of the surrounding pattern, along the same direction of the surrounding pattern, and reproduce it as necessary until the end of the square",False,,3,130.0,130.0,7.0,1,6,517,639
f273fb6d-f7c8-4608-b7e4-76e30c6c035a,6a803f1a-6c62-492c-81f5-397266042ce0,"In the input, you should see...a design pattern with incomplete patterns in different colors next to it on a black background",The output grid size...same as the input size,"To make the output, you have to...complete the same pattern in the differing color all the way to the edge of the grid along the same direction or line that it starts at.",True,3,1,26.0,26.0,1.0,4,4,151,89
f6a22800-7805-44dd-a116-7c3a887b9a2b,6ce0945c-3799-4f95-a5e5-13497d907443,"In the input, you should see...a larger shape and smaller shapes",The output grid size...stays the same,"To make the output, you have to...duplicate the larger shape using the color and location of each smaller shape.  Once you have done that, you will need to continue the shape pattern to the edges of the grid.  That is make more duplicates being spaced the same distance and direction until you hit the edge of the grid.",True,2,1,48.0,48.0,0.0,5,5,337,103
fbd854fb-cb92-4a97-b67f-8d791bb25bd0,27ce5dab-0bee-4040-8696-0da5aa31061e,"In the input, you should see...incomplete patterns in gray, pink and blue.",The output grid size...same as the output,"To make the output, you have to...complete the pattern for the other two colors which are blue and pink to be just like shape of gray and from there follow the same space and continue the draw to the end.",False,,3,162.0,162.0,8.0,3,3,619,797
1f4a8526-d645-4167-b406-ada76bf60f80,aa6787f8-ced1-4e36-aa81-061cac6e7e12,"In the input, you should see...a grid divided into a left side and a right side by a line of grey blocks","The output grid size...the output grid is the size of one side only, excluding the grey blocks","To make the output, you have to...imagine taking out the line grey blocks and sliding the left half over until it lines up with the right side. If two blue blocks are on top of each other the block becomes red, otherwise the block is black",True,2,1,3.0,3.0,0.0,5,0,231,20
96a0b393-6299-4e34-b80a-75e1833b38ec,bfe0e709-c98c-4d9e-ae3f-5d7e78eee1a3,"In the input, you should see...two grid split by a gray line",The output grid size...one of the two grid without the gray line,"To make the output, you have to...place the right grid on top of the left grid. any square that is colored on both grid becomes red. Every other square, including those that are blue, becomes black.",True,8,1,3.0,3.0,2.0,2,0,452,46
b1036bd1-060c-4c1b-a7d2-247c3b3d78c7,ed6ef52f-3df9-4412-a775-835e0d43673b,"In the input, you should see...a grid with a gray line down the center",The output grid size...should be 3x3,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",True,9,1,3.0,3.0,1.0,1,5,255,41
437edadf-39e1-4323-8004-40d0786c0ebb,bb992a9e-7196-4752-a32b-41faad7cbd28,"In the input, you should see...7 by 7 grid being different colored on black background",The output grid size...should be same as input size,"To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left",True,10,1,40.0,40.0,3.0,1,1,389,146
4f244f17-f6ec-4f9a-90be-0c39db3bd141,54900164-6437-4a39-abac-bfe3e8b37881,"In the input, you should see...an object at the top left corner with red, blue and green colors",The output grid size...the grid size does not change,"To make the output, you have to...make the boxes red, blue and green in a diagonal pattern",False,,3,123.0,123.0,1.0,0,0,1539,317
50a699d7-e296-437a-8978-49636fdf27ad,320a765c-99c7-462f-8018-c2c75b305af9,"In the input, you should see...exciting",The output grid size...by change numbers,"To make the output, you have to...by read instructions",False,,3,14.0,14.0,2.0,1,4,119,124
d5b46446-cbc9-4641-805f-1533ee63f76c,c8ea91e6-df0e-43be-b9c1-ffabdbafd07b,"In the input, you should see...exciting",The output grid size...by change the numbers,"To make the output, you have to...by read the instructions",True,8,1,57.0,57.0,0.0,4,1,97,480
3a9a5a54-23f6-49ae-a3f5-5b79070d9419,9f7409d5-8bd7-43eb-aea2-3c2e1f7471b5,"In the input, you should see...a light blue cube and a red shape.",The output grid size...is the same as the input grid.,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",True,9,1,10.0,10.0,0.0,5,1,260,34
df7f0ca8-59c6-46ba-8573-4c76248a8856,47465cd2-1015-4133-901a-17d56be060cc,"In the input, you should see...a light blue cube and a red shape",The output grid size... remain the same,"To make the output, you have to... keep the blue cube in the same spot.  the red shape needs to move until it is touching the blue cube",True,10,1,14.0,14.0,1.0,4,0,222,87
318f492d-4c7a-43b1-888b-3cad3f97279b,5a7cbd9b-0fd1-4f3a-822c-764b929e2b6f,"In the input, you should see...example reaches",The output grid size...instead,"To make the output, you have to...alternate",True,10,1,12.0,12.0,0.0,2,1,73,49
e500c1a0-d480-4cfe-ac3e-230f2b2ca204,1d108235-ff50-4425-b050-eda9d4a2b514,"In the input, you should see... different color pattern on black background",The output grid size...should be same as input size,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect",True,10,1,38.0,38.0,1.0,3,5,218,47
35002b5e-55f1-4837-b627-257a14db0bff,b85fa04d-6b2e-4d8b-8ad2-3a3b6faba1c6,"In the input, you should see...a few bars that are gray",The output grid size...does not change,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",True,9,1,28.0,28.0,1.0,4,3,81,69
d23b4287-2c8a-48bc-9570-a2dab81c944e,925aa3bb-a02b-4de8-bfe1-2301ec59fdd7,"In the input, you should see...a few bars that are gray",The output grid size...does not change,"To make the output, you have to... change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",True,8,1,6.0,6.0,0.0,0,1,465,60
7520d0d8-f7fd-48c5-98fb-7db0ff20716a,8777f19d-c4ab-4e86-98a5-fd356d38f6b1,"In the input, you should see...a gray grid with random color cubes",The output grid size...stay the same,"To make the output, you have to...find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray.",True,7,1,51.0,51.0,0.0,4,9,428,52
a16388cd-5d2a-4b4b-82fc-ac290b7436a7,1a62f0ec-e02e-4601-925e-633191f8f68e,"In the input, you should see...a gray grid with random",The output grid size...stay the same,"To make the output, you have to...find space in grid that only have 4 colored cubes.  Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray",False,,3,9.0,9.0,2.0,4,1,102,155
a5c7d162-af95-46b3-89de-78008a0692d7,f096434a-419a-4be0-8915-2d4a6992549f,"In the input, you should see...a black grid with random color cubes",The output grid size...Stay with same,"To make the output, you have to...you have to pick different color with 3x3 grid such that cube colors",False,,3,66.0,66.0,3.0,0,2,707,239
b106b8c7-c102-4b18-93bb-07c6ecb880e8,15a1ccbb-0651-491c-a867-f1f1dc49611a,"In the input, you should see...a gray grid with 9 different smaller squares with various color block patterns.",The output grid size...remains the same.,"To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",True,8,1,62.0,62.0,1.0,1,3,816,121
10d8a03d-260d-46ee-b92c-6b639575cc41,b793d038-b65a-463f-b9ff-5d69b1481e05,"In the input, you should see...Two colors, with the pink color within a box of blue color set like a cross.",The output grid size...remain the same,"To make the output, you have to... the blue color to set a grid of cross with space for pink at the center. At the edge of the blue colors set pink and black as support.",False,,3,74.0,74.0,2.0,0,1,2667,342
18388024-1ab3-4a26-a50f-3754f07a19d2,b702e797-062d-448d-b825-2dee82f9f489,"In the input, you should see...2 plus shapes",The output grid size...does not change.,"To make the output, you have to...extend those 2 point into 2 star patterns.  They are on a 5x5 grid and represent of an X pattern that share the center color, there is  a   pattern share the outer color.",True,2,1,26.0,26.0,3.0,0,0,704,58
4bcb2c3d-d3df-4bad-9e61-4f27d281b4cd,57feadb4-28aa-4e8c-a7fe-6915a5ea9a88,"In the input, you should see...very interesting on follow",The output grid size...according size,"To make the output, you have to...output grid successfully",True,10,1,26.0,26.0,5.0,2,4,73,85
507f0466-8632-405b-b7e1-d2a2ded1f421,5a7cbd9b-0fd1-4f3a-822c-764b929e2b6f,"In the input, you should see...follow close",The output grid size...according,"To make the output, you have to...except corresponding",True,8,1,29.0,29.0,0.0,3,2,56,73
5b836e48-1605-4397-9908-6a72ba9e2087,e80db214-ecb1-4889-9989-360001367e82,"In the input, you should see...input is color change and today in above","The output grid size... In the input, you should see...input is color change and today in above","To make the output, you have to...specified the input, you should see...input is color change and today in above.",False,,3,64.0,64.0,1.0,0,3,108,116
866f87f6-ce36-4e30-ad4f-fe3ab3762c07,95f8c000-2e35-4c5b-9b79-e15661b1cdc5,"In the input, you should see...a 4x4 cross of 2 colors",The output grid size...is the same,"To make the output, you have to...continue the pattern out 2 squares",False,,3,31.0,31.0,4.0,3,3,65,60
f04acc73-155c-403b-8d9a-4501a7e166e8,7fc3d83d-591d-43f4-965b-5f899d93b137,"In the input, you should see...two plus sign shapes with a different center color",The output grid size... is the same as input,"To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign.",True,8,1,26.0,26.0,6.0,0,0,295,34
5a735fb9-e38a-4fc1-8426-c1597f6f2ee8,eb6c8fe1-1132-400f-a2dc-3c3c45f2df54,"In the input, you should see...either a long or tall black grid with 2 different colored pixels",The output grid size... remains the same.,"To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",True,8,1,32.0,32.0,1.0,0,0,1545,138
736a5046-5cf4-42d3-b0d3-e1ed33de242a,42aa3772-5319-4a80-aa1a-c9d6568ee88c,"In the input, you should see....vertical blocks of different color pattern",The output grid size...it increase by 7 blocks,"To make the output, you have to...copy the input",True,6,1,57.0,57.0,0.0,0,2,278,85
54e360e5-b7d0-4967-9d7c-245d67f67c42,96a16317-299b-40cf-9e07-6a3745bc7f50,"In the input, you should see... four areas with three with the same color and one with a different color.",The output grid size... make the one different colored pattern a new size.,"To make the output, you have to... find the one pattern that has different color and draw it on the black output.",False,,3,116.0,116.0,3.0,0,1,870,442
622741cb-f3b0-4773-b655-3ea78470095b,1300f34a-47c7-494c-bd68-54a7d0652e73,"In the input, you should see...a rectangular pattern in each corner, one a different color than the others.",The output grid size...becomes the size of the pattern that is a different color.,"To make the output, you have to...copy the pattern that is a different color",True,10,1,4.0,4.0,2.0,1,3,650,154
745213ba-f291-4341-a6ad-d4da8e1a0ed9,098f3fcb-8780-4b1e-a6ca-7e698a5bc626,"In the input, you should see...four colored areas. One of the four areas will be a different color from the rest.",The output grid size...should change to match the size of the area that is the odd color from the rest.,"To make the output, you have to...make the output grid match the space of the colored area that is the odd color from the rest.",True,9,1,30.0,30.0,1.0,5,1,108,51
8935ead5-3bc5-4dda-8572-3e60dac1a230,e426a59f-5bdf-4195-9e5f-dd45560c9ed7,"In the input, you should see... four colored area. One different from others.",The output grid size... become size of the different color area.,"To make the output, you have to... make it the area that is a different color.",True,8,1,5.0,5.0,0.0,4,1,104,28
441f999f-f6e8-444d-8bb6-5fbd6ab6a07a,7f13a811-d16e-4839-9142-e9449db2d506,"In the input, you should see...grid with single pixel colored squares",The output grid size...same as input,"To make the output, you have to...copy image exactly.  Where there's a red square, put yellow squares at it's corners (4 total).  Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares",True,9,1,14.0,14.0,1.0,6,2,166,26
8ae71d62-4d65-4552-8ddc-ebacfdbe4032,e2c4f97c-33de-442e-b686-2bed46602513,"In the input, you should see...a grid with different colored squares.",The output grid size...stays the same.,"To make the output, you have to...add one yellow square diagonally at each corner of the red square. Add one orange square to the top and bottom of the blue square, and one orange square to the left and right of the blue square. Leave the magenta and light blue squares as they are; do not add anything to them if they are present.",True,9,1,14.0,14.0,0.0,0,3,350,45
0f62645c-be79-4bf2-afba-39794982132f,6191159f-4cb9-4792-96a0-c26b9c7dae64,"In the input, you should see...a 3 by 3 grid with three different colored column.",The output grid size...is also 3 by 3.,"To make the output, you have to...change the column color to a specific other color. If the original color is dark red, change it to pink. If it is green, change it to yellow. If dark blue, change to grey. If light blue, change to dark red. The opposite is also true (for example if it is light blue, change to dark red).",True,8,1,10.0,10.0,1.0,2,1,252,30
c1ffa3d0-f7d7-4dda-8001-5ddade1d93a1,1091e7da-e8f2-47dd-bc2d-ad950a496d12,"In the input, you should see...3 vertical columns of the same color",The output grid size...the grid size is the same,"To make the output, you have to...replace the vertical column colors with different colors",False,,3,18.0,18.0,0.0,0,0,393,88
c80a20f8-7726-4152-8293-df74bdc0c858,bb992a9e-7196-4752-a32b-41faad7cbd28,"In the input, you should see... a 3 by 3 grid with three different  colored with some color need to change",The output grid size...should be same size as input grid size,"To make the output, you have to...change the color of the grid column into specific color.  grey to dark blue, light blue to dark red, magenta to light red, green to yellow and vice versa",True,10,1,10.0,10.0,2.0,0,1,529,69
1fa524d1-dd50-400f-b885-295b031ccd2c,47465cd2-1015-4133-901a-17d56be060cc,"In the input, you should see....A repeating tile pattern",The output grid size...is the same as the input grid,"To make the output, you have to...copy input grid exactly.  Fill in all black boxes to draw establish pattern",True,8,3,67.0,67.0,1.0,0,0,740,601
da941e63-f11e-475b-99a3-b671112264c7,9f7409d5-8bd7-43eb-aea2-3c2e1f7471b5,"In the input, you should see...a mostly filled in grid with a few black holes.",The output grid size...is the same as the input grid.,"To make the output, you have to...start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats).  Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",True,8,1,39.0,39.0,0.0,1,1,790,429
0ff79d16-6b86-4b67-9f56-af65198dd79c,40231a71-0ba5-481f-93a0-ffba8d3eeca6,"In the input, you should see...the shape is rotated into 180 degree clockwise  remove 3 single blocks.",The output grid size...pick copy output options to make similar grid size.,"To make the output, you have to...After finishing the work done check the output was clear or not with submit option.",False,,3,7.0,7.0,0.0,0,4,389,60
1174a5d6-881a-4a73-a216-7b3147c34dde,c1580e40-73e1-4c6e-bee2-beebe9a452fc,"In the input, you should see...a fully colored object and unfulfilled 3 color boxes with black backround.",The output grid size...is same as given,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",True,10,1,35.0,35.0,3.0,2,6,934,72
33349e22-a887-43a4-8e45-8384aaff882f,c1580e40-73e1-4c6e-bee2-beebe9a452fc,"In the input, you should see...a fully colored object and unfulfilled 3 color boxes with black backround.",The output grid size...is same as given,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",True,5,2,45.0,45.0,2.0,1,6,934,358
