phrase_number	task_number	task_name	description_id	phrase_kind	nth_phrase_in_paragraph	phrase	tag_procedure	tag_metaphor	tag_clarification	tag_example	tag_array	tag_validation	tag_loop	tag_start_stop	tag_conditional	tag_logic	tag_framing	tag_spatial_relation	tag_physical_interaction	tag_contact_transform	tag_affine_transform	tag_visual_graphical_transform	tag_object_detection
11	2	017c7c7b.json	f8344fbf-a9db-4dec-b0ea-4eae7cdc310c	output	1	keep the original pattern, change the blue to red, and then continue the pattern in the new 3 rows.	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
12	5	0520fde7.json	b1036bd1-060c-4c1b-a7d2-247c3b3d78c7	input	1	a grid with a gray line down the center	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
13	5	0520fde7.json	b1036bd1-060c-4c1b-a7d2-247c3b3d78c7	grid_size	1	should be 3x3	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
14	5	0520fde7.json	b1036bd1-060c-4c1b-a7d2-247c3b3d78c7	output	1	look at both the left and right parts of the input grid.	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
15	5	0520fde7.json	b1036bd1-060c-4c1b-a7d2-247c3b3d78c7	output	2	You will notice that the left and right parts are 3x3.	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
16	5	0520fde7.json	b1036bd1-060c-4c1b-a7d2-247c3b3d78c7	output	3	For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1
17	6	05269061.json	437edadf-39e1-4323-8004-40d0786c0ebb	input	1	7 by 7 grid being different colored on black background	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
18	6	05269061.json	437edadf-39e1-4323-8004-40d0786c0ebb	grid_size	1	should be same as input size	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
19	6	05269061.json	437edadf-39e1-4323-8004-40d0786c0ebb	output	1	fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0
20	7	05f2a901.json	3a9a5a54-23f6-49ae-a3f5-5b79070d9419	input	1	a light blue cube and a red shape.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
21	7	05f2a901.json	3a9a5a54-23f6-49ae-a3f5-5b79070d9419	grid_size	1	is the same as the input grid.	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
22	7	05f2a901.json	3a9a5a54-23f6-49ae-a3f5-5b79070d9419	output	1	keep the light blue cube in the same exact location.	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1
23	7	05f2a901.json	3a9a5a54-23f6-49ae-a3f5-5b79070d9419	output	2	Then copy and move the other shape directly towards the blue cube, until it is touching it.	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1
24	7	05f2a901.json	3a9a5a54-23f6-49ae-a3f5-5b79070d9419	output	3	At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1
25	7	05f2a901.json	df7f0ca8-59c6-46ba-8573-4c76248a8856	input	1	a light blue cube and a red shape	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
26	7	05f2a901.json	df7f0ca8-59c6-46ba-8573-4c76248a8856	grid_size	1	remain the same	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
27	7	05f2a901.json	df7f0ca8-59c6-46ba-8573-4c76248a8856	output	1	keep the blue cube in the same spot.	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1
28	7	05f2a901.json	df7f0ca8-59c6-46ba-8573-4c76248a8856	output	2	the red shape needs to move until it is touching the blue cube	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1
29	8	06df4c85.json	e500c1a0-d480-4cfe-ac3e-230f2b2ca204	input	1	different color pattern on black background	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
30	8	06df4c85.json	e500c1a0-d480-4cfe-ac3e-230f2b2ca204	grid_size	1	should be same as input size	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
31	8	06df4c85.json	e500c1a0-d480-4cfe-ac3e-230f2b2ca204	output	1	fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
32	9	08ed6ac7.json	35002b5e-55f1-4837-b627-257a14db0bff	input	1	a few bars that are gray	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
33	9	08ed6ac7.json	35002b5e-55f1-4837-b627-257a14db0bff	grid_size	1	does not change	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
34	9	08ed6ac7.json	35002b5e-55f1-4837-b627-257a14db0bff	output	1	change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1
35	9	08ed6ac7.json	d23b4287-2c8a-48bc-9570-a2dab81c944e	input	1	a few bars that are gray	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
36	9	08ed6ac7.json	d23b4287-2c8a-48bc-9570-a2dab81c944e	grid_size	1	does not change	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
37	9	08ed6ac7.json	d23b4287-2c8a-48bc-9570-a2dab81c944e	output	1	 change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1
38	11	0962bcdd.json	f04acc73-155c-403b-8d9a-4501a7e166e8	input	1	two plus sign shapes with a different center color	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1
39	11	0962bcdd.json	f04acc73-155c-403b-8d9a-4501a7e166e8	grid_size	1	is the same as input	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
40	11	0962bcdd.json	f04acc73-155c-403b-8d9a-4501a7e166e8	output	1	extend the plus sign one square in every direction	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1
41	11	0962bcdd.json	f04acc73-155c-403b-8d9a-4501a7e166e8	output	2	then make a 5x5 'X' of the center color through the center square.	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
42	11	0962bcdd.json	f04acc73-155c-403b-8d9a-4501a7e166e8	output	3	You should result in nine squares the color of the center and eight the color of the original plus sign.	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1
43	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	input	1	either a long or tall black grid with 2 different colored pixels	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
44	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	grid_size	1	remains the same.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
45	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	output	1	create a pattern of short stripes alternating between the 2 colors.	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1
46	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	output	2	Start from the first colored pixel and create a line that goes to the opposite side using that color.	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1
47	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	output	3	Then go to the second colored pixel and do the same.	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1
48	12	0a938d79.json	5a735fb9-e38a-4fc1-8426-c1597f6f2ee8	output	4	Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1
49	13	0b148d64.json	622741cb-f3b0-4773-b655-3ea78470095b	input	1	a rectangular pattern in each corner, one a different color than the others.	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1
50	13	0b148d64.json	622741cb-f3b0-4773-b655-3ea78470095b	grid_size	1	becomes the size of the pattern that is a different color.	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
51	13	0b148d64.json	622741cb-f3b0-4773-b655-3ea78470095b	output	1	copy the pattern that is a different color	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
52	13	0b148d64.json	8935ead5-3bc5-4dda-8572-3e60dac1a230	input	1	four colored area.	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
53	13	0b148d64.json	8935ead5-3bc5-4dda-8572-3e60dac1a230	input	2	One different from others.	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
54	13	0b148d64.json	8935ead5-3bc5-4dda-8572-3e60dac1a230	grid_size	1	become size of the different color area.	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
55	13	0b148d64.json	8935ead5-3bc5-4dda-8572-3e60dac1a230	output	1	make it the area that is a different color.	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
56	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	input	1	grid with single pixel colored squares	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
57	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	grid_size	1	same as input	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
58	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	output	1	copy image exactly.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
59	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	output	2	Where there's a red square, put yellow squares at it's corners (4 total).	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1
60	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	output	3	Where there's a dark blue square, put orange squares directly above and below it (4 total).	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1
61	14	0ca9ddb6.json	441f999f-f6e8-444d-8bb6-5fbd6ab6a07a	output	4	Do nothing with light blue or magenta squares	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
62	14	0ca9ddb6.json	8ae71d62-4d65-4552-8ddc-ebacfdbe4032	input	1	a grid with different colored squares.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
63	14	0ca9ddb6.json	8ae71d62-4d65-4552-8ddc-ebacfdbe4032	grid_size	1	stays the same.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
64	14	0ca9ddb6.json	8ae71d62-4d65-4552-8ddc-ebacfdbe4032	output	1	add one yellow square diagonally at each corner of the red square.	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1
65	14	0ca9ddb6.json	8ae71d62-4d65-4552-8ddc-ebacfdbe4032	output	2	Add one orange square to the top and bottom of the blue square, and one orange square to the left and right of the blue square.	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0
66	14	0ca9ddb6.json	8ae71d62-4d65-4552-8ddc-ebacfdbe4032	output	3	Leave the magenta and light blue squares as they are; do not add anything to them if they are present.	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1
67	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	input	1	a 3 by 3 grid with three different colored column.	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
68	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	grid_size	1	is also 3 by 3.	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
69	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	1	change the column color to a specific other color.	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
70	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	2	If the original color is dark red, change it to pink.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
71	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	3	If it is green, change it to yellow.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
72	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	4	If dark blue, change to grey.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
73	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	5	If light blue, change to dark red.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
74	15	0d3d703e.json	0f62645c-be79-4bf2-afba-39794982132f	output	6	The opposite is also true (for example if it is light blue, change to dark red).	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0
75	15	0d3d703e.json	c80a20f8-7726-4152-8293-df74bdc0c858	input	1	a 3 by 3 grid with three different  colored with some color need to change	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
76	15	0d3d703e.json	c80a20f8-7726-4152-8293-df74bdc0c858	grid_size	1	should be same size as input grid size	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
77	15	0d3d703e.json	c80a20f8-7726-4152-8293-df74bdc0c858	output	1	change the color of the grid column into specific color.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
78	15	0d3d703e.json	c80a20f8-7726-4152-8293-df74bdc0c858	output	2	grey to dark blue, light blue to dark red, magenta to light red, green to yellow and vice versa	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
79	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	input	1	a mostly filled in grid with a few black holes.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
80	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	grid_size	1	is the same as the input grid.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
81	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	1	start by copying the input grid exactly.	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
82	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	2	Fill in all of the black boxes to complete the pattern until there are no more black boxes.	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1
83	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	3	To do this notice the pattern of the colored boxes.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
84	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	4	For example the top row might repeat every 4th row	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1
85	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	5	(or 5 rows or whatever the number of rows is before it repeats).	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0
86	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	6	Once you've figured out the pattern just fill in the black boxes with the correct colored boxes.	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
87	16	0dfd9992.json	da941e63-f11e-475b-99a3-b671112264c7	output	7	In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1
88	17	0e206a2e.json	1174a5d6-881a-4a73-a216-7b3147c34dde	input	1	a fully colored object and unfulfilled 3 color boxes with black backround.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
89	17	0e206a2e.json	1174a5d6-881a-4a73-a216-7b3147c34dde	grid_size	1	is same as given	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
90	17	0e206a2e.json	1174a5d6-881a-4a73-a216-7b3147c34dde	output	1	try to fill up the empty space between the three color boxes as the original object given.	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1
91	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	input	1	1 or 2 squares filled in with the same color on a black background.	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1
92	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	grid_size	1	is double the height and width of the input grid.	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
93	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	output	1	resize the output grid to be double the width and height of the input grid.	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
94	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	output	2	"Then, copy and paste each colored square in the input grid 4 times -- once in each ""quadrant"" "	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1
95	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	output	3	"(if, in the input, the square is in the uppermost and leftmost corner, then it should be in the uppermost and leftmost corner in the output, as well as in the uppermost and leftmost corner of each ""quadrant"")."	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1
96	18	10fcaaa3.json	3c804381-0bb2-4b6b-bcb5-b8a596d19195	output	4	Then, for every single colored square, do the following: put a light blue square on each adjacent corner, forming a cross with 4 light-blue squares and the colored square in the middle.	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1
97	19	11852cab.json	870b5ce9-3fb4-4948-857e-1861af7fd7e8	input	1	shapes with one color that is not complete the pattern	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1
98	19	11852cab.json	870b5ce9-3fb4-4948-857e-1861af7fd7e8	grid_size	1	is the same as input	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
99	19	11852cab.json	870b5ce9-3fb4-4948-857e-1861af7fd7e8	output	1	several color patterns that each contain a single gray square.	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1
100	21	137eaa0f.json	587cabd1-f314-4f37-91f8-2bcac1a38a59	input	1													0	0	0	0	0	1
101	21	137eaa0f.json	587cabd1-f314-4f37-91f8-2bcac1a38a59	grid_size	1	is 3x3.	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
102	21	137eaa0f.json	587cabd1-f314-4f37-91f8-2bcac1a38a59	output	1	move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1
103	22	150deff5.json	001c065e-21cd-4572-91e7-66e1e7106c3f	input	1	a black 9x9 grid with a gray pattern.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
104	22	150deff5.json	001c065e-21cd-4572-91e7-66e1e7106c3f	grid_size	1	is the same for input and output	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
105	22	150deff5.json	001c065e-21cd-4572-91e7-66e1e7106c3f	output	1	copy pattern and change 2x2 areas to light blue and 1x3 to red.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
106	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	input	1	one or more grey shapes.	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
107	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	grid_size	1	is the same as the input grid.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
108	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	output	1	copy the input grid.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	output	2	Find any blocks of four squares which make a 2x2 square and change them to LIGHT blue.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
110	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	output	3	Change the other grey squares to red.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
111	22	150deff5.json	607e4fc1-95d6-4731-9380-fb39deef906b	output	4	In the end, the shapes should be made only out of 2x2 light blue sections and 1x3 red sections.	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
112	23	178fcbfb.json	242f81e7-3894-44ce-bdd8-9c5a7a2e3832	input	1	a grid with red, blue, and green squares	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
113	23	178fcbfb.json	242f81e7-3894-44ce-bdd8-9c5a7a2e3832	grid_size	1	is the same as the input	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
114	23	178fcbfb.json	242f81e7-3894-44ce-bdd8-9c5a7a2e3832	output	1	draw a vertical red line through any red squares.	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
115	23	178fcbfb.json	242f81e7-3894-44ce-bdd8-9c5a7a2e3832	output	2	Then draw lines, left to right, for the green and blue squares.	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
116	23	178fcbfb.json	242f81e7-3894-44ce-bdd8-9c5a7a2e3832	output	3	Go over any red squares from before.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
117	23	178fcbfb.json	246506e0-2841-46ad-8914-782aa9a9cce0	input	1	a grid with red, blue and green squares.	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
118	23	178fcbfb.json	246506e0-2841-46ad-8914-782aa9a9cce0	grid_size	1	the same as the input grid.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
119	23	178fcbfb.json	246506e0-2841-46ad-8914-782aa9a9cce0	output	1	extend the green and blue squares into horizontal lines that go all the way to the edges of the grid.	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1
120	23	178fcbfb.json	246506e0-2841-46ad-8914-782aa9a9cce0	output	2	The red square extend as a vertical line that is behind the green and blue squares so the place where the lines cross over each other, the blue or green square should show.	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1
121	23	178fcbfb.json	43714807-7b9f-4051-9874-678f322d712e	input	1	a grid with red, blue, and green squares	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
122	23	178fcbfb.json	43714807-7b9f-4051-9874-678f322d712e	grid_size	1	is the same as the input	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
123	23	178fcbfb.json	43714807-7b9f-4051-9874-678f322d712e	output	1	draw a vertical red line of squares through any red squares, then make left to right green lines through green squares and left to right blue lines through blue squares.	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
124	23	178fcbfb.json	43714807-7b9f-4051-9874-678f322d712e	output	2	Go over any red squares from before.	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
125	24	1a07d186.json	feb9a93a-5680-4ed4-91f7-bc6930548142	input	1	one or two main colors with a third that is different than the rest.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
126	24	1a07d186.json	feb9a93a-5680-4ed4-91f7-bc6930548142	grid_size	1	remains the same	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
127	24	1a07d186.json	feb9a93a-5680-4ed4-91f7-bc6930548142	output	1	remove the different color that does not match the rest.	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
128	24	1a07d186.json	feb9a93a-5680-4ed4-91f7-bc6930548142	output	2	move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1
129	25	1b2d62fb.json	0cc844a5-0f91-4fef-be22-b87fbf29a18e	input	1	two red pattern and a blue line in the middle.	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
130	25	1b2d62fb.json	0cc844a5-0f91-4fef-be22-b87fbf29a18e	grid_size	1	is 3 wide and 5 up and down	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
131	25	1b2d62fb.json	0cc844a5-0f91-4fef-be22-b87fbf29a18e	output	1	 put both pattern together, if it is red in either pattern make it red in the output.	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1
132	25	1b2d62fb.json	0cc844a5-0f91-4fef-be22-b87fbf29a18e	output	2	Then turn the black light blue and the red black.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
133	25	1b2d62fb.json	8f3348bd-7383-484d-8c14-1f1f14d27d3a	input	1	two pattern with same grid size and a blue line in the middle.	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
134	25	1b2d62fb.json	8f3348bd-7383-484d-8c14-1f1f14d27d3a	grid_size	1	the same size of the one pattern.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
135	25	1b2d62fb.json	8f3348bd-7383-484d-8c14-1f1f14d27d3a	output	1	change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
136	26	1b60fb0c.json	212224ba-5e37-4fd4-a6d1-0fbfeb48e7d8	input	1	a three-part blue pattern against a black background.	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
137	26	1b60fb0c.json	212224ba-5e37-4fd4-a6d1-0fbfeb48e7d8	grid_size	1	should match the input.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
138	26	1b60fb0c.json	212224ba-5e37-4fd4-a6d1-0fbfeb48e7d8	output	1	 recreate the blue pattern then add another part on the left, in red.	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
139	26	1b60fb0c.json	6a0d690b-072e-4774-a601-fc1c057cf127	input	1	a 3-part blue pattern against a black background	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
140	26	1b60fb0c.json	6a0d690b-072e-4774-a601-fc1c057cf127	grid_size	1	is the same as the input	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
