,task_id_number,task_id_string,best_see_description,best_grid_description,best_do_description,desc_num_builds,desc_num_successsful_builds
87573c00-c468-4872-9162-67da9a28533f,18,10fcaaa3.json,"In the input, you should see... a few colored squares on a black background",The output grid size... is double the height and width of the input grid,"To make the output, you have to... copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay.",1,0
870b5ce9-3fb4-4948-857e-1861af7fd7e8,19,11852cab.json,"In the input, you should see...shapes with one color that is not complete the pattern",The output grid size...is the same as input,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",4,4
497b3309-3c95-451e-bde6-3df42489aaeb,21,137eaa0f.json,"In the input, you should see...single object fill grid","The output grid size...In the input, you should see...single object fill grid","To make the output, you have to...In the input, you should see...single object fill grid",3,2
607e4fc1-95d6-4731-9380-fb39deef906b,22,150deff5.json,"In the input, you should see... one or more grey shapes.",The output grid size... is the same as the input grid.,"To make the output, you have to... copy the input grid. Find any blocks of four squares which make a 2x2 square and change them to LIGHT blue. Change the other grey squares to red. In the end, the shapes should be made only out of 2x2 light blue sections and 1x3 red sections.",1,1
246506e0-2841-46ad-8914-782aa9a9cce0,23,178fcbfb.json,"In the input, you should see...a grid with red, blue and green squares.",The output grid size...the same as the input grid.,"To make the output, you have to...extend the green and blue squares into horizontal lines that go all the way to the edges of the grid. The red square extend as a vertical line that is behind the green and blue squares so the place where the lines cross over each other, the blue or green square should show.",1,1
feb9a93a-5680-4ed4-91f7-bc6930548142,24,1a07d186.json,"In the input, you should see...one or two main colors with a third that is different than the rest.",The output grid size...remains the same,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5,1
0cc844a5-0f91-4fef-be22-b87fbf29a18e,25,1b2d62fb.json,"In the input, you should see... two red pattern and a blue line in the middle.",The output grid size... is 3 wide and 5 up and down,"To make the output, you have to... put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black.",4,3
6a0d690b-072e-4774-a601-fc1c057cf127,26,1b60fb0c.json,"In the input, you should see...a 3-part blue pattern against a black background",The output grid size...is the same as the input,"To make the output, you have to...recreate one of the sections of the 3-part blue pattern in order to turn it into a 4-part pattern. However the newly created section should be in red and should be placed into the empty section of the grid in a logical orientation in order to create a consistent 4-part pattern",1,1
b8c40b81-0702-4b4c-abc8-4b1422a81e94,27,1bfc4729.json,"In the input, you should see...two colors, one at the top and the other at the bottom",The output grid size...is the same size,"To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row",1,1
a8433e46-09ab-4d66-ad67-a52932389022,28,1c786137.json,"In the input, you should see... a complex color pattern with a distinctive rectangle of a single color",The output grid size...will be the size of the area inside the rectangle,"To make the output, you have to...copy the grid inside the rectangle",3,3
9b300664-36e1-4f15-af82-a58d95f6e9a9,29,1caeab9d.json,"In the input, you should see... 3 shapes of blue, red, and yellow colors.",The output grid size...is the same size as the input grid,"To make the output, you have to...keep the blue shape where it is, and move the red and yellow shapes up or down so that they are at the same level as the blue-colored shape.",1,1
4b695800-29e2-44e8-91c3-3be5e8ce27c4,30,1cf80156.json,"In the input, you should see...a colored image on a black grid.",The output grid size...it becomes the size of the colored image.,"To make the output, you have to...you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change.",2,2
6bfa977b-6368-49cc-9a71-299622e4b9a8,31,1e0a9b12.json,"In the input, you should see... grids of squares with colored square scattered.",The output grid size... doesn't change from the input.,"To make the output, you have to... think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom.  That produces the correct output grid.",1,1
1288463b-3b4b-4007-a09a-2706525880c3,32,1e32b0e9.json,"In the input, you should see...a grid with 9 5x5 square boxes all split by one color. there shapes of another color in 5 of the boxes.",The output grid size...is the same as the input.,"To make the output, you have to...use the shape that's in the top left box and replicate that in all the other boxes, but leave the color that is already there, and use the other color, the one that is dividing the 9 boxes, to complete the shapes in the rest of the boxes",1,1
dbe9746f-245e-4ec7-b90e-f3196fc31c17,33,1f0c79e5.json,"In the input, you should see...A square pattern with at least one red color square",The output grid size...Same as input,"To make the output, you have to...Extend the pattern in the direction that the red square is located on the square. If more than one corner has a red square, extend all corners to the edge by the width of the square.  Pattern should go up one and over one by a width of two.",1,0
e628978a-d944-42cb-a175-8dd0be71e491,34,1f642eb9.json,"In the input, you should see...a large blue area with colored squares around the edge.",The output grid size...keep the same,"To make the output, you have to...make a copy of each of the colored small squares and put those copy into the blue shape into the same line near to the same block.",4,1
2237b8b8-68bb-40fa-a242-39d4be0e21b0,35,1f85a75f.json,"In the input, you should see...large areas with one significant colored pattern different than its background.",The output grid size...same size as the significant pattern.,"To make the output, you have to...copy the significant pattern.",1,1
348414fe-790e-4ece-bb3b-2a0c5b482012,36,1f876c06.json,"In the input, you should see...various pairs of colored blocks in a black grid.",The output grid size...is the same as the input grid size.,"To make the output, you have to...copy the input grid. Then, form a diagonal line by connecting the two of the same color blocks. The diagonal line between each set of matching color blocks should be the same color as the two blocks you are connecting. Do this for each set of matching blocks.",5,4
b79f94fc-15e5-475e-a25b-a1f4aa6a7b7c,37,1fad071e.json,"In the input, you should see...multiple  2x2 blue grids and other colors on black background",The output grid size... 5x1 grid,"To make the output, you have to...fill single blue grid from the left for every 2x2 blue grids available",1,1
28c3c3be-9522-44c1-a89e-322d95f9146c,38,2013d3e2.json,"In the input, you should see... a colored shape on a black background",The output grid size... is 3x3,"To make the output, you have to... fill the grid with the upper left corner of the colored shape. The output should look like the top left corner of the colored shape.",1,1
8cb0e99f-2b7a-403c-b2d0-a085f5d85545,39,2204b7a8.json,"In the input, you should see...two colored sides of the grid, with some colored blocks in the middle.",The output grid size...same as input,"To make the output, you have to...change the color of the block in the middle of the grid to match the color of the side they are closest to.",1,1
f106e898-0e5f-401c-be2d-647f33fc85cb,40,22168020.json,"In the input, you should see...a box of color with colored shapes up from each side.",The output grid size...should be the same as the input,"To make the output, you have to...fill in the area above the four square base until you get to the top of the colored area",4,2
73c3e281-8a6b-4675-9c0c-301490adde77,41,22233c11.json,"In the input, you should see...green pattern or patterns",The output grid size...same size,"To make the output, you have to...on each of the center line direction of the green pattern, draw blue color pattern, and the blue color pattern is half of the green pattern",3,1
ca673287-8a1f-4fe4-a182-51ca7ff65aed,42,2281f1f4.json,"In the input, you should see...a series of gray boxes along the top and right side.",The output grid size...is 10x10,"To make the output, you have to...color a box red if it is intersecting both gray boxes both horizontal and vertical.",3,0
007e34be-04b1-4bcc-8b3b-377de8faf368,43,228f6490.json,"In the input, you should see...same grid",The output grid size...10x10,"To make the output, you have to...fill in the shapes within the gray area with the color shapes that represent the space.",4,2
78ac06b3-468d-4818-926e-015006c92c7f,44,22eb0ac0.json,"In the input, you should see...single pixels of different colors in two horizontal lines along the left and right sides of the grid.",The output grid size...stays the same size as the input.,"To make the output, you have to....copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors",2,2
c39a26ef-8d85-4249-9397-4bc230a47d71,45,234bbc79.json,"In the input, you should see...three different shapes, all of which have a main color with some boxes a grey color.",The output grid size...changes in length by removing any black boxes that separate the shapes,"To make the output, you have to...change any grey box to the same color it is connected to.  Remove any column of black boxes that are separating the shapes, so that each shape is next to each other.  The middle shape is moved to the opposite of it's original position, either moving from bottom to top, or top to bottom.",1,0
79fed15e-9354-42bd-86dd-27f9bf98aff1,46,23581191.json,"In the input, you should see...two colored squares on a black background",The output grid size...is the same as input,"To make the output, you have to....make a vertical and horizontal line through each square to the edge of the grid.  Make each line the same color as its input square.  Where the two colors cross put a red square.",1,1
31599a2b-3492-4bf3-9c8f-f7ee915910cb,47,239be575.json,"In the input, you should see...Blue grid and two red squares with the random Black grid.",The output grid size...1 grid square.,"To make the output, you have to...make the color of the square the same color as the square that is five down and three across of the input.",2,2
d2fd0b37-eb07-4d18-8422-3014c341caeb,48,23b5c85d.json,"In the input, you should see...different colored objects in the grid.",The output grid size...should be the one colored object with the smallest area.,"To make the output, you have to...change the grid size with the colored object with the smallest area and fill the same color.",3,3
104f06a5-ba7c-45f9-a079-6bf08c6cd264,49,253bf280.json,"In the input, you should see...light blue dots",The output grid size...is the same as the old one,"To make the output, you have to...use green lines to connect blue dots that are in the same line",2,2
a88231f2-1ebd-460f-8151-5b0c8abba23d,50,25d487eb.json,"In the input, you should see...a single pattern",The output grid size...does not change,"To make the output, you have to...take the smaller color and shoot it out the top",4,2
d4aa1c11-ffbe-4f26-a9be-854f3871606a,51,25d8a9c8.json,"In the input, you should see...colored pattern in the grids.",The output grid size...same as the input grid size.,"To make the output, you have to...fill the row with grey if the row has the same colors in the input. color the row with black if the row contain different colors.",2,2
5d6c6dd3-348d-460f-8ecc-43bc28aed02f,52,25ff71a9.json,"In the input, you should see...3 by 3 grid blue color grid on black background",The output grid size...same as input size,"To make the output, you have to...move all the blue color move down  by one grid",4,2
75dc6393-28b7-4e69-b386-eb325f01d5c3,53,264363fd.json,"In the input, you should see...a large grid with shapes of three different colors on a colored background",The output grid size...is the same as the input grid,"To make the output, you have to...remove the small shape and replicate it over each block of the same color as its center and color in the row or column of the blocks that extend from the shape to the edge of the colored area it is within for the blocks around the center of the small shape that are two blocks wide or two blocks tall and touch the sides of the center of the shape",1,0
045a7108-ada6-49f1-a9d3-00a53fff39e5,54,272f95fa.json,"In the input, you should see...a 19x19 grid",The output grid size...remains the same,"To make the output, you have to...fill in the left square with yellow. The middle rectangle with pink. The right rectangle in the middle, with green. The bottom center rectangle with blue and the top center rectangle with red.",2,0
fd35618b-9ac9-401f-8b4f-8b99cf65866e,55,27a28665.json,"In the input, you should see...a 3 by 3 grid filled with different colored squares.",The output grid size...will change to a 1 by 1 square.,"To make the output, you have to...see which design you have. if you have two black lines that are 2 squares long, one coming down from the top left, and one going left from the bottom right, your output will be a green square.If you have a grey cross that is filled in, your output is a magenta square. If you have a black cross, with the middle square filled in with a different color, your output will be an orangey red. If you have a cross of a different color, with the middle square black, and the upper left square filled in with the color as well, then your output will be a blue square.",1,1
e9789b19-c4d9-45f8-88c2-c3d2b8f6504f,56,28bf18c6.json,"In the input, you should see...a figure on a big grid.",The output grid size...3 up and 6 to the sides.,"To make the output, you have to...copy the figure two times in that grid size.",2,1
20584acf-3712-4810-94fd-94c77c90d926,57,28e73c20.json,"In the input, you should see...a black background.",The output grid size...is the same as the input.,"To make the output, you have to...make a green ""spiral."" Begin in the upper left corner and work clockwise around the outer edges of the grid. Turn clockwise one cell short of making a complete border of green. Continue coloring green until you reach the center of the grid.",2,1
616436fa-c82e-42b3-a823-b67840d728fd,58,29623171.json,"In the input, you should see...9 black boxes with colored blocks inside them",The output grid size...is the same as the input grid size,"To make the output, you have to...find the black box or boxes with the highest number of colored blocks in the input grid. The corresponding box or boxes in the output grid should be colored entirely that color. The rest of the boxes should be all black",5,3
041b3217-ca7d-4576-95bf-6f0171781183,59,29c11459.json,"In the input, you should see...5x11 grid",The output grid size...stays the same,"To make the output, you have to...add four more blocks of the same color to the right of the block on the left side of the grid. Add a gray block. Then add four blocks of the same color of the block on the right side of the grid to connect the line.",2,2
044022a1-1b2f-4d27-a1b3-8763080dc525,60,29ec7d0e.json,"In the input, you should see...black square areas on multi-color squares.",The output grid size...is the same.,"To make the output, you have to...replace the black squares with the correct corresponding colors, using the blocks without black areas as reference.",1,1
812ebe62-6fad-4b62-b3fb-a9b73a6d5dc8,61,2bcee788.json,"In the input, you should see...an object on a black background with red blocks.",The output grid size...stays the same.,"To make the output, you have to...change the background to green. The object should have 2 colors red and some other color. From the input, take the color that is not red and copy it exactly as it is. You want to make another copy of that color but make it a mirrored image in the direction of the red block.",1,1
f595346b-fdd3-4209-9cf7-43ead4d79d50,62,2bee17df.json,"In the input, you should see...two different colors of squares around the edges of the grid.",The output grid size...stays the same.,"To make the output, you have to...Copy the input grid into the output. Around the outside of the grid, you will notice some squares are only one square deep around. Take note of these squares. Using green, draw straight lines horizontally and vertically from these squares that are only one deep around the outside, connecting them ONLY to squares on the other side of the grid that also are only one square deep.",1,1
256d8c36-37b1-48fc-b808-cb38992ded17,63,2c608aff.json,"In the input, you should see...a pattern with a central square and colored dots.",The output grid size...is the same as input,"To make the output, you have to...If the dots could connect to the central square with a straight line, connect it with the same color as the dot",5,4
c47f190f-3687-4d3e-871c-8205c7ee67fb,64,2dc579da.json,"In the input, you should see... a grid broken up into 4 sections by a cross, where 1 section has an off-color single square in it.",The output grid size... is the size of 1 of the 4 sections.,"To make the output, you have to... ""zoom in"" on the section with an off-color square.",4,4
e017cfda-a8ee-4291-b149-f2b8887b0d0d,65,2dd70a9a.json,"In the input, you should see...red and green dots",The output grid size...is the same as the old one,"To make the output, you have to...use green line to connect the red and green parts in straight lines",4,2
bf7e0159-c297-46a0-8c7b-4beb08e03090,66,2dee498d.json,"In the input, you should see... A repeating pattern (usually repeats three times)",The output grid size... should be set to the equivalent grid size that the singular pattern takes up,"To make the output, you have to... fill the grid up with the singular identified pattern",4,4
ec79fd83-69d0-498e-8435-6cb355ad64c4,67,31aa019c.json,"In the input, you should see...large grid with many colored blocks.",The output grid size...same as the input.,"To make the output, you have to....make the entire output black. Then, you need to locate a block that is the only color in the input and place it in the same position. Surround the block with red blocks until it forms a square.",2,1
81ed0ad0-3391-417a-9e1e-e26dc8410a75,68,321b1fc6.json,"In the input, you should see...a black grid with four different structures. Three are the same color and one is multi-colored.",The output grid size...stays the same.,"To make the output, you have to...change the colors of all the single-colored structures to the multi-colors. Then change the original multi-colored structure to all black.",4,4
a979128c-244a-430d-8fc5-0793943b60ab,69,32597951.json,"In the input, you should see... an incomplete rectangle or square",The output grid size...same as the input size,"To make the output, you have to...replace the blue squares with green squares to complete a square of a rectangle with the light blue blocks",4,4
2ead82ee-3528-4b9c-8fa9-356b4b6061c7,70,3345333e.json,"In the input, you should see...a pattern of a single color with a box pattern of another color on top of it.",The output grid size...is the same size as the input grid,"To make the output, you have to...remove the box pattern color completely and make the other pattern symmetrical by mirroring the shape horizontally.",3,0
ae3653d7-5716-422e-b441-0ba35dae9703,71,3428a4f5.json,"In the input, you should see... tall grid that made up of red and black blocks is split into a top half and bottom half  by a line of yellow blocks","The output grid size...he grid size of the output grid is only as large as the top half of the input grid, above and not including the yellow blocks","To make the output, you have to... the grid up so that it is on top of the top half. If two red blocks are on top of each other they turn black. If a red block is on top of or below a black block it becomes green. If two black blocks are on top of each other they stay black.",3,0
5fb84cbd-30a0-4c24-b011-21e419ac8af9,72,3618c87e.json,"In the input, you should see...measure the color change in two colors","The output grid size...In the input, you should see...measure the color change in two colors","To make the output, you have to...In the input, you should see...specific the color change in two colors",2,0
58337923-2323-4bec-89eb-dd5e53dca07e,73,3631a71a.json,"In the input, you should see...a large grid with a multicolored pattern. Notice that the pattern is mirrored horizontally and vertically.",The output grid size...stays the same.,"To make the output, you have to...Copy the input grid to the output grid. You will see boxes where the pattern is missing. In these boxes, mirror the pattern from the opposite side of the grid, exactly. Use the same colors.",1,1
3ead5693-1238-434a-a820-44cbee06887f,74,363442ee.json,"In the input, you should see... a pattern on the left, a grey bar and blue squares on the right",The output grid size... is the same as the input,"To make the output, you have to... copy the pattern on the left and recreate the same pattern over each blue square on the right side, such that the center of the pattern is where the blue square was",3,3
f2108335-0076-4be3-bc72-2f15ec9518b5,75,36d67576.json,"In the input, you should see...Yellow patterns with a single red square on each and one yellow shape with blue and green squares.",The output grid size...Copy grid size,"To make the output, you have to...Repeat pattern shown on single yellow pattern onto others",2,1
f6966bfd-c207-4a6e-ac9f-2d84928c8582,76,36fdfd69.json,"In the input, you should see... a grid with many squares in one color and a smaller number of squares in red.",The output grid size... is the same as the input grid,"To make the output, you have to... copy the input grid. Connect the red squares with yellow to create yellow and red rectangles or squares. Only connect red squares that are close together. Do not turn any black squares yellow - only connect red squares that you can connect by making the other color in the grid yellow. The output grid will have more than one yellow and red rectangle or square.",1,1
cf851ef2-88b7-42a6-8701-522f83dbff42,77,3906de3d.json,"In the input, you should see...a black grid with a blue pattern across the top and red at the bottom",The output grid size...same as the input,"To make the output, you have to...imagine the blue is a vacuum and sucks the red up into the open spaces.  Move all red straight up.",3,3
d2075b1e-a12b-46cb-aede-5cf314053569,78,39a8645d.json,"In the input, you should see... a few different kinds of 3x3 shape. Each kind should have a unique shape and color. There may be multiple copies of each kind.",The output grid size... is 3x3,"To make the output, you have to... count the number of copies of each shape. Zoom in on the shape with the most copies.",1,1
41c7f48d-3c66-464d-a8aa-b4d562867666,79,39e1d7f9.json,"In the input, you should see...a grid of pixel lines within the overall grid.",The output grid size...same as the same,"To make the output, you have to...copy the input grid, replicate the main pixel placement within the grid and replicate half at the top right corner.",2,2
777d4ff9-0a06-4301-ae32-95907ad4ca67,80,3aa6fb7a.json,"In the input, you should see...three incomplete squares that are each missing a corner.",The output grid size...is identical,"To make the output, you have to...fill in the missing corners with a blue square.",1,1
d8d2b488-a4b6-4cbf-bf1d-8fcbf761eea6,81,3ac3eb23.json,"In the input, you should see...either one or two colored squares at the top of the grid.",The output grid size...should be similar.,"To make the output, you have to...make it look like a checkerboard: use the top square provided, the next row will be staggered color, blank, color; the next row will be one square, and so on and so forth to the end. The second colored square represents a new checkerboard design following the same rules. Use the same colors as the starting colored square provided.",3,0
3c543228-9510-4a13-b841-ddd205c32d70,82,3af2c5a8.json,"In the input, you should see...pattern of color squares.",The output grid size...change to 8x6.,"To make the output, you have to...imagine grid is cut in half vertical. Copy pattern to top and below left half. Mirror pattern to right half of grid to top and below.",3,1
1fd287b6-4f3a-4697-ae7f-aae9e9ec6ccb,83,3bd67248.json,"In the input, you should see... a colored line on the left side of the grid.",The output grid size... is the same as the input grid.,"To make the output, you have to... copy the input grid. Fill in all of the squares on the bottom row of the grid with yellow. Then draw a red line diagonal from the black square in the bottom left up to the top right of the grid. Do not change the bottom left color when you draw the yellow and red lines; the yellow and red lines each begin in the second column of the grid.",1,1
ea9d7e52-07dd-4f88-b675-6bad7d026b2b,84,3bdb4ada.json,"In the input, you should see...same colored grids forming a shape or a pattern.",The output grid size...does not change from the input size.,"To make the output, you have to....form multiple holes within the formed shapes, like as windows on an airplane, train or a bus.",1,1
4fdac8d1-5289-40cc-a870-cfcc2ee8e67b,85,3befdf3e.json,"In the input, you should see... a two color shape made up of one square surrounded by a square of another color",The output grid size... is the same as the input grid,"To make the output, you have to... create the same shape, but switch the two colors. Use what is now your inside color and create a border around the outside square. This border will be the same width of the middle section of the same color. If a single block is in the center, then border will be 1x3 on both side and 3x1 on top/bottom. If center of shape is a 2x2 square, then border will be 2x4 on both side and 4x2 on top/bottom. Final shape should look like a plus sign.",1,0
798c5554-242c-4d50-a8bc-c2eda29326e0,86,3c9b0459.json,"In the input, you should see... a grid of colored pixels.",The output grid size... is the same as the input.,"To make the output, you have to...  Create the same pattern as the input, just rotated 180 degrees.  Done.",1,1
a78e172b-b808-4450-b64c-1132b6b6d1ad,87,3de23699.json,"In the input, you should see...a shape of one color surrounded by 4 single squares of another color.",The output grid size...will be the same size as the inside of the single 4 squares in the input grid.,"To make the output, you have to...use the color of the single 4 boxes and replicate the shapes from the input grid.",1,1
a309e976-3bcb-4574-b2e4-a839ed81c400,88,3e980e27.json,"In the input, you should see...black background, and red blocks and, or green blocks surround by other color blocks.",The output grid size...stays the same.,"To make the output, you have to...copy the input. For the green blocks that have nothing around them, make the same placement of blocks around them as the green block from the input that has blocks around it. If there are red blocks with nothing around them in the end result you want to make them be a mirrored image of the input red block, making the colors around the red block go in the opposite direction in on the horizontal.",1,1
2a60fd57-cdd1-4a5c-b46c-394bf72b743b,89,3eda0437.json,"In the input, you should see...a grid with black, blue and gray squares.",The output grid size...is the same size as the input.,"To make the output, you have to...find in the input the biggest square or rectangle that can be created with only black boxes. Then make that box area in the output pink instead of black.",4,3
4784144c-fa70-4ebe-bfdb-55f8df145f5e,90,3f7978a0.json,"In the input, you should see...two gray lines with blue squares on the top and bottom of each.","The output grid size... will only be as big as the gray lines with their blue ends, with all the squares that are in between them. (If you see two gray lines that are 3 squares long, and there is 3 spaces of black space between the two lines, your grid would be 5x5: Make sure to include the blue ends of each gray line in your size calculation.","To make the output, you have to...recreate the position of the black space and any blue squares that are between your gray lines. The four corners of your output will be the blue ends of the gray lines in the input. Make sure that the exact amount of black space between the two lines matches the input, and the placement of any blue squares in the black space also matches the exact location in the input. Your output grid should be no bigger on top/bottom or left/right of the blue squares at the end of each gray line.",2,2
efe4d09c-6732-4c7d-bc59-3a4b7c1c58d3,91,40853293.json,"In the input, you should see...squares that have similar colors",The output grid size...same grid size,"To make the output, you have to...join the lines, red with red, green with green and the same with the other colors, lines cross each other but up to down lines are on top.",5,5
005bbe08-171c-47dc-ad8e-fa74fdd00bf1,92,4093f84a.json,"In the input, you should see...gray rows with some other colored boxes in the grid.",The output grid size...is the same as the input grid.,"To make the output, you have to...first copy the gray rows or columns exactly. Now imagine that the non-gray boxes are attracted to the gray rows like magnets. Move the non-gray boxes until they are touching the gray rows. Now, every box should be touching the gray rows. The last step is to change all of the non-gray boxes to be gray. The final result should be only gray boxes, all of them connected by the original gray rows/columns.",3,1
3222f612-7635-439a-bb59-694e7be6f9ad,93,41e4d17e.json,"In the input, you should see...a light blue grid with blue square borders.",The output grid size...the same as the input.,"To make the output, you have to...find the center of each square and add a magenta pixel to its center.  From that magenta pixel draw a line from each side of it (up, down, left, right) going straight to the border of the entire grid.  Each magenta line must reach the border of the square.  The magenta lines are allowed to cross over each other.",3,0
